Node name,sub deadline ratio,DSP,Shared mem,Const mem,data mem
read_hidden_1_1x1_71,0.36,None,3,None,None
read_u3_z_0_1x32_0,0.32,None,None,5,None
multiply_1162,0.31,2,None,None,None
add_1300,0.27,2,None,None,None
read_b3_z_0,0.28,None,None,5,None
add_1331,0.25,2,None,None,None
read_hidden_1_1x1_1_71,0.23,None,3,None,None
read_u3_z_1_1x32_0,0.11,None,None,5,None
multiply_1163,0.33,2,None,None,None
add_1301,0.13,2,None,None,None
read_hidden_1_1x1_2_71,0.40,None,3,None,None
read_u3_z_2_1x32_0,0.16,None,None,5,None
multiply_1164,0.27,2,None,None,None
add_1302,0.25,2,None,None,None
read_hidden_1_1x1_3_71,0.27,None,3,None,None
read_u3_z_3_1x32_0,0.11,None,None,5,None
multiply_1165,0.12,2,None,None,None
add_1303,0.27,2,None,None,None
read_hidden_1_1x1_4_71,0.37,None,3,None,None
read_u3_z_4_1x32_0,0.46,None,None,5,None
multiply_1166,0.48,2,None,None,None
add_1304,0.28,2,None,None,None
read_hidden_1_1x1_5_71,0.14,None,3,None,None
read_u3_z_5_1x32_0,0.36,None,None,5,None
multiply_1167,0.15,2,None,None,None
add_1305,0.18,2,None,None,None
read_hidden_1_1x1_6_71,0.43,None,3,None,None
read_u3_z_6_1x32_0,0.30,None,None,5,None
multiply_1168,0.44,2,None,None,None
add_1306,0.46,2,None,None,None
read_hidden_1_1x1_7_71,0.46,None,3,None,None
read_u3_z_7_1x32_0,0.46,None,None,5,None
multiply_1169,0.49,2,None,None,None
add_1307,0.28,2,None,None,None
read_hidden_1_1x1_8_71,0.43,None,3,None,None
read_u3_z_8_1x32_0,0.34,None,None,5,None
multiply_1170,0.15,2,None,None,None
add_1308,0.28,2,None,None,None
read_hidden_1_1x1_9_71,0.22,None,3,None,None
read_u3_z_9_1x32_0,0.45,None,None,5,None
multiply_1171,0.13,2,None,None,None
add_1309,0.28,2,None,None,None
read_hidden_1_1x1_10_71,0.49,None,3,None,None
read_u3_z_10_1x32_0,0.37,None,None,5,None
multiply_1172,0.28,2,None,None,None
add_1310,0.44,2,None,None,None
read_hidden_1_1x1_11_71,0.13,None,3,None,None
read_u3_z_11_1x32_0,0.38,None,None,5,None
multiply_1173,0.22,2,None,None,None
add_1311,0.19,2,None,None,None
read_hidden_1_1x1_12_71,0.22,None,3,None,None
read_u3_z_12_1x32_0,0.22,None,None,5,None
multiply_1174,0.40,2,None,None,None
add_1312,0.46,2,None,None,None
read_hidden_1_1x1_13_71,0.46,None,3,None,None
read_u3_z_13_1x32_0,0.15,None,None,5,None
multiply_1175,0.45,2,None,None,None
add_1313,0.36,2,None,None,None
read_hidden_1_1x1_14_71,0.50,None,3,None,None
read_u3_z_14_1x32_0,0.43,None,None,5,None
multiply_1176,0.17,2,None,None,None
add_1314,0.30,2,None,None,None
read_hidden_1_1x1_15_71,0.25,None,3,None,None
read_u3_z_15_1x32_0,0.32,None,None,5,None
multiply_1177,0.11,2,None,None,None
add_1315,0.44,2,None,None,None
read_hidden_1_1x1_16_71,0.22,None,3,None,None
read_u3_z_16_1x32_0,0.38,None,None,5,None
multiply_1178,0.15,2,None,None,None
add_1316,0.27,2,None,None,None
read_hidden_1_1x1_17_71,0.23,None,3,None,None
read_u3_z_17_1x32_0,0.20,None,None,5,None
multiply_1179,0.25,2,None,None,None
add_1317,0.49,2,None,None,None
read_hidden_1_1x1_18_71,0.19,None,3,None,None
read_u3_z_18_1x32_0,0.46,None,None,5,None
multiply_1180,0.36,2,None,None,None
add_1318,0.16,2,None,None,None
read_hidden_1_1x1_19_71,0.17,None,3,None,None
read_u3_z_19_1x32_0,0.43,None,None,5,None
multiply_1181,0.39,2,None,None,None
add_1319,0.17,2,None,None,None
read_hidden_1_1x1_20_71,0.25,None,3,None,None
read_u3_z_20_1x32_0,0.26,None,None,5,None
multiply_1182,0.50,2,None,None,None
add_1320,0.44,2,None,None,None
